year,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,ht_trendline,kama10,kama20,kama30,sar,trima5,trima10,trima20,adx5,adx10,adx20,apo,cci5,cci10,cci15,macd510,macd520,macd1020,macd1520,macd1226,mom10,mom15,mom20,roc5,roc10,roc20,ppo,rsi14,rsi8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ultosc,willr,atr,trange,typprice,ht_dcperiod,beta,company,average
2022,1792.053706,1795.716745,1788.092353,1792.219588,8793.564706,1791.657584,1790.967988,1790.28097,1789.583189,1791.660665,1790.966544,1790.266464,1789.559618,1800.06966,1791.657584,1783.245509,1788.782713,1790.005159,1788.665792,1787.942673,22.8,1791.657477,1790.965544,1789.588722,41.6332074,29.52120531,20.82161672,1.961487557,0.274791805,5.298433325,8.059535548,0.69412123,2.101047284,1.406926054,0.706846605,1.982941147,2.756764706,4.15445098,5.600156863,0.08745276,0.172583821,0.34954903,0.118115887,52.79709704,52.33578618,53.28907334,53.27775951,53.29138574,53.28907334,49.1864236,49.16045941,53.95357247,-44.94321874,7.712449525,7.759235294,1792.009562,21.53283486,0.460022716,ADANIGREEN,2689.762922
2015,313.7377057,314.2488073,313.2172251,313.7246952,44828.92832,313.7336634,313.7448384,313.7560185,313.7672134,313.7336555,313.7448473,313.7560619,313.7673038,314.8155094,313.7336634,312.6518174,313.7748069,313.7673422,313.7569714,313.7459464,322.206307,313.7336665,313.7448494,313.7671984,41.35943615,30.6122734,23.21098336,-0.031382462,-2.511672054,-4.023751521,-4.811628624,-0.011191802,-0.033648269,-0.02245651,-0.011242289,-0.031485557,-0.044702261,-0.06706523,-0.089712324,-0.00590737,-0.011866535,-0.023914105,-0.010506694,49.53788565,49.43846859,49.01476226,49.01555904,49.01489203,49.01476226,49.61293933,49.61326231,49.11355462,-51.04564264,1.048712438,1.048534983,313.7302425,21.76516595,0.479647949,ADANIPORTS,470.8574198
2016,238.3501332,238.7306222,237.9431609,238.3433676,64314.2709,238.3425594,238.341522,238.3405178,238.3395233,238.3425577,238.341532,238.3404911,238.339431,239.1982518,238.3425594,237.486867,238.3307077,238.3718248,238.3959314,238.3707405,374.75,238.3425624,238.3415143,238.3395119,42.98847218,32.1218514,24.36658388,0.002832792,0.636198772,1.061760342,0.891297131,0.001025661,0.003126627,0.002100966,0.001060085,0.002960821,0.004068092,0.00597433,0.00810899,0.002934241,0.005855486,0.011939218,0.001153712,50.37359698,50.4317221,51.60665335,51.60470332,51.60628329,51.60665335,50.46405735,50.46459087,51.16012734,-48.48922157,0.802127493,0.802156415,238.3390502,21.89853968,0.49000812,ADANIPORTS,357.7022026
2017,361.3157747,361.7541923,360.8595091,361.3140312,49606.28614,361.2990848,361.2806303,361.2622984,361.243983,361.2991396,361.28072,361.2623974,361.2441318,362.2346611,361.2990848,360.3635085,361.2158516,361.2911135,361.285814,361.2510455,264.9011515,361.2990834,361.2805756,361.2439351,42.35268297,30.80363593,22.61465652,0.051249113,1.864793763,2.501310684,4.253490529,0.018419595,0.055007874,0.036588279,0.018265665,0.051126891,0.073762028,0.110393015,0.146842902,0.012191022,0.02415711,0.048102955,0.015496801,51.02878979,50.96934353,51.90236151,51.90098553,51.90512314,51.90236151,50.54771956,50.54714639,51.19464175,-47.63121993,0.906310345,0.906489891,361.3092442,21.73998702,0.458512972,ADANIPORTS,542.1839469
2018,377.0639555,377.6275031,376.4827976,377.0567928,44942.92696,377.0589041,377.0612506,377.0634093,377.0655002,377.0588326,377.0611144,377.0632738,377.0653765,378.238808,377.0589041,375.8790003,377.0742406,377.1102085,377.1179279,377.1142756,169.25,377.0589124,377.0613169,377.0655982,39.97117689,28.96229567,21.53708816,-0.005841763,-2.429288364,-2.659806132,-2.903534103,-0.002281894,-0.006543916,-0.004262022,-0.002102707,-0.005863909,-0.009321803,-0.013362702,-0.017341056,0.00013155,0.000331274,0.000876297,-0.001428983,49.97558463,49.81175034,49.30913639,49.31235948,49.30569939,49.30913639,48.98588049,48.98682347,49.95537485,-51.31036271,1.159420641,1.159232066,377.0556979,21.33349218,0.498825932,ADANIPORTS,565.8689019
2019,380.3142927,380.8273184,379.7731922,380.3017368,50110.49421,380.3040076,380.3069618,380.3098565,380.3127318,380.3040253,380.3069341,380.309834,380.3127367,381.3766387,380.3040076,379.2313766,380.3031677,380.3225678,380.3265124,380.3264255,169.25,380.3039924,380.3069561,380.3127568,41.27132502,30.0274549,22.05164856,-0.008071514,-0.104639808,0.076075328,0.302663467,-0.002908827,-0.008711399,-0.005802572,-0.002902763,-0.008138882,-0.011624795,-0.017315674,-0.023115784,-0.000250756,-0.000597426,-0.001122496,-0.002090803,50.08785781,50.15505348,50.86835365,50.86712279,50.87148596,50.86835365,50.29584258,50.29115209,50.45001041,-48.6817867,1.065227647,1.065180229,380.3007491,21.94255873,0.531237879,ADANIPORTS,570.7139145
2020,347.8643157,348.4717778,347.2352405,347.8647382,68631.06899,347.8524066,347.8367805,347.8211253,347.805413,347.8523667,347.8367259,347.8209859,347.8051651,349.1561522,347.8524066,346.548661,347.7588632,347.8277261,347.7663912,347.7265723,169.25,347.8524245,347.8368049,347.8054615,40.41889788,29.64792598,21.93728005,0.044079107,0.019804974,0.989920926,1.67979922,0.01564079,0.047201638,0.031560849,0.015820858,0.044336158,0.062359819,0.09375764,0.125562052,0.010495685,0.020962611,0.041357861,0.010516826,50.50335669,50.41863423,50.3559034,50.35786319,50.35271671,50.3559034,49.29529515,49.29985974,50.86095857,-49.57691218,1.256424172,1.256920011,347.8572522,21.60217238,0.514048634,ADANIPORTS,522.0893981
2021,710.0711488,711.2664397,708.7670584,710.0421921,166100.3098,710.0153839,709.9820309,709.9488482,709.9157041,710.015417,709.9821353,709.9489258,709.9157434,712.616953,710.0153839,707.4138149,709.8469254,709.9099311,709.8208838,709.7752751,169.25,710.0153705,709.9820121,709.9156229,40.09181501,30.06926745,23.01920842,0.09279306,-3.303413397,-2.558073502,-2.325230794,0.033281701,0.099673654,0.066391953,0.033182369,0.092893818,0.133387367,0.199470471,0.265591398,0.013287928,0.026526165,0.052962916,0.01554809,50.27455041,49.93736129,49.50490998,49.50331784,49.50761815,49.50490998,48.24594805,48.24391141,50.82091858,-50.66275812,2.535756279,2.535716215,710.0252301,21.33148725,0.563508493,ADANIPORTS,1065.649969
2022,735.4338627,736.4559412,734.313902,735.411902,61516.22,735.4135412,735.4167412,735.4190327,735.4205667,735.4137414,735.4160406,735.4175079,735.4182479,737.692012,735.4135412,733.1350704,735.2903505,735.4514872,735.5412142,735.5591852,169.25,735.4134554,735.4165693,735.4213537,43.87375051,33.19595492,24.28473012,-0.003213424,-0.164970928,-1.78275251,-3.395475986,-0.002299247,-0.004506501,-0.002207255,-0.000740003,-0.001575394,-0.011333333,-0.014372549,-0.01072549,0.000520585,0.000858518,0.003642743,-0.000393166,49.85704599,49.83046131,50.66340542,50.64793231,50.67635666,50.66340542,49.80947749,49.78574116,51.2324417,-50.04177485,2.175648934,2.177803922,735.393915,22.5430145,0.571478249,ADANIPORTS,1103.612892
2015,228.0262416,228.348529,227.7015569,228.0200497,27323.76801,228.02551,228.0323735,228.0389558,228.0452651,228.0255004,228.0321457,228.0385409,228.044785,228.6958792,228.02551,227.3551408,228.0515575,228.0328647,228.0518129,228.0738349,277.0650477,228.0254977,228.0324107,228.0455013,42.66145427,31.30806168,22.63701442,-0.017583372,0.384710121,0.186450236,0.036511302,-0.006645351,-0.019284585,-0.012639236,-0.006244082,-0.017452803,-0.027002309,-0.039374297,-0.05122536,-0.005020103,-0.009771385,-0.018420861,-0.007758181,49.91084451,50.02637347,49.84946703,49.84927233,49.85209886,49.84946703,50.15290774,50.14753906,49.41175573,-49.82794596,0.656942868,0.656777955,228.0233785,21.88942278,0.417014986,AMBUJACEM,342.1993074
